GCK J19331052+4211466 293.29381 42.19629 21.881 0.165 -999.990 -999.990   6.58  6696580 Kepler-359   15.886 16.351 15.838 15.687 15.621 14.736 14.429 14.487
GCK J19071929+4216454 286.83036 42.27929 19.833 0.034 -999.990 -999.990  31.67  6762829 Kepler- 38   13.941 14.400 13.876 13.744 13.642 12.730 12.412 12.342
GCK J19155072+4215545 288.96135 42.26514 19.359 0.029 -999.990 -999.990  37.20  6768394 Kepler- 60   13.959 14.389 13.913 13.776 13.717 12.804 12.569 12.516
GCK J19104751+4220188 287.69795 42.33856 18.900 0.019 -999.990 -999.990  56.16  6850504 Kepler- 20   12.498 12.997 12.423 12.284 12.209 11.252 10.910 10.871
GCK J19363310+4222139 294.13790 42.37053 21.028 0.065 -999.990 -999.990  16.72  6871071 Kepler-374   14.686 15.167 14.650 14.480 14.389 13.503 13.180 13.135
GCK J18450917+4227042 281.28820 42.45117 18.229 0.010 -999.990 -999.990 108.81  6922244 Kepler-  8   13.563 13.886 13.511 13.424 13.413 12.576 12.323 12.292
GCK J19052597+4224241 286.35819 42.40669 22.292 0.184 -999.990 -999.990   5.92  6932987 Kepler-293   15.368 15.903 15.295 15.138 15.087 14.098 13.781 13.660
GCK J19113992+4226146 287.91632 42.43739 22.714 0.269 -999.990 -999.990   4.03  6936909 Kepler-291   15.934 16.435 15.855 15.719 15.640 14.688 14.336 14.150
GCK J19275058+4225589 291.96074 42.43304 20.082 0.036 -999.990 -999.990  30.25  6949061 Kepler-343   14.128 14.583 14.068 13.975 13.875 13.038 12.721 12.682
GCK J19533501+4227353 298.39586 42.45981 18.117 0.015 -999.990 -999.990  74.27  6975129 Kepler-312   12.949 13.355 12.895 12.775 12.729 11.901 11.663 11.596
GCK J19353365+4231408 293.89022 42.52799 18.603 0.015 -999.990 -999.990  74.07  7040629 Kepler-208   13.749 14.302 13.699 13.511        12.547 12.309 12.210
GCK J19455215+4235559 296.46729 42.59887 16.649 0.008 -999.990 -999.990 133.24  7050989 Kepler-136   12.459 12.512 12.404               10.804 10.573 10.519
GCK J19054869+4239287 286.45285 42.65797 22.579 0.249 -999.990 -999.990   4.35  7102316 Kepler-351   15.990 16.575 15.936 15.739 15.632 14.669 14.205 14.096
GCK J19244078+4238266 291.16992 42.64073 20.198 0.049 -999.990 -999.990  22.27  7115785 Kepler-209   13.998 14.536 13.944 13.768 13.685 12.797 12.432 12.362
GCK J19434711+4239316 295.94628 42.65878 20.702 0.090 -999.990 -999.990  12.10  7132798 Kepler-119   14.236 14.761 14.164 14.011 13.919 12.996 12.635 12.580
GCK J19455595+4239479 296.48311 42.66329 22.752 0.373 -999.990 -999.990   2.91  7134976 Kepler-246   15.024 15.744 14.958 14.716 14.562 13.586 13.150 13.038
GCK J18473980+4246321 281.91582 42.77558 16.242 0.004 -999.990 -999.990 257.01  7175184 Kepler-144   11.992 12.282 11.944 11.868 11.872 11.050 10.830 10.791
GCK J19475963+4246553 296.99847 42.78204 18.989 0.028 -999.990 -999.990  38.98  7219825 Kepler-123   14.061 14.458 14.013 13.891 13.819 12.981 12.724 12.654
GCK J19031191+4248427 285.79963 42.81185 20.784 0.058 -999.990 -999.990  18.57  7265298 Kepler-355   15.087 15.518 15.033 14.902 14.858 14.006 13.592 13.673
GCK J19110566+4252101 287.77360 42.86947 21.084 0.070 -999.990 -999.990  15.61  7269974 Kepler-160   14.619 15.113 14.587 14.407 14.349 13.460 13.101 13.051
GCK J19495169+4252581 297.46539 42.88281 19.319 0.031 -999.990 -999.990  35.04  7303287 Kepler-289   13.956 14.403 13.921 13.764 13.691 12.861 12.596 12.507
GCK J19312973+4257596 292.87388 42.96656 21.761 0.188 -999.990 -999.990   5.77  7366258 Kepler- 82   15.158 15.718 15.096 14.918 14.803 13.878 13.526 13.518
GCK J19342075+4255439 293.58646 42.92886 20.859 0.059 -999.990 -999.990  18.30  7368664 Kepler-434   14.517 14.970 14.445 14.322 14.277 13.400 13.035 13.038
GCK J18483245+4302219 282.13521 43.03942 19.951 0.035 -999.990 -999.990  30.78  7419318 Kepler-137   12.990 13.582 12.918 12.736 12.653 11.650 11.228 11.164
GCK J19143436+4302216 288.64317 43.03933 23.122 0.503 -999.990 -999.990   2.16  7434875 Kepler-247   15.067 15.794 14.990 14.755 14.630 13.596 13.178 13.051
GCK J19274846+4304284 291.95193 43.07457 20.387 0.048 -999.990 -999.990  22.76  7445445 Kepler-184   14.338 14.831 14.279 14.126 14.010 13.099 12.752 12.689
GCK J19014537+4310072 285.43905 43.16867 20.507 0.054 -999.990 -999.990  20.11  7509886 Kepler-211   13.283 13.953 13.217 12.997 12.888 11.926 11.487 11.446
GCK J19102899+4308302 287.62079 43.14172 18.689 0.019 -999.990 -999.990  58.17  7515212 Kepler-212   13.178 13.504 13.111 13.038        11.931 11.699 11.620
GCK J19290897+4311498 292.28739 43.19716 18.589 0.016 -999.990 -999.990  68.64  7529266 Kepler-435   13.643 14.013 13.610 13.485 13.448 12.592 12.345 12.291
GCK J18442697+4313402 281.11236 43.22783 16.961 0.006 -999.990 -999.990 187.71  7582689 Kepler-431   11.973 12.308 11.932 11.830 11.809 10.945 10.678 10.648
GCK J19213154+4317354 290.38141 43.29316 22.238 0.197 -999.990 -999.990   5.51  7603200 Kepler-138   12.925 14.014 12.893 12.457        10.293  9.680  9.506
GCK J19475545+4312351 296.98105 43.20974 19.592 0.035 -999.990 -999.990  31.42  7626506 Kepler-112   13.771 14.282 13.739 13.552 13.448 12.583 12.226 12.154
